Logging to Training/Logs/FINALPPO_200K/PPO_1
----------------------------------
| rollout/           |           |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.018734675 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.773       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00158    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0202     |
|    std                  | 1           |
|    value_loss           | 0.0136      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 134         |
|    ep_rew_mean          | -9.792758   |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 8           |
|    time_elapsed         | 9           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.010589145 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.27        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0166     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0193     |
|    std                  | 1           |
|    value_loss           | 0.0319      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 143         |
|    ep_rew_mean          | -9.748762   |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 9           |
|    time_elapsed         | 10          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.013671332 |
|    clip_fraction        | 0.0906      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.311       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.82        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0197     |
|    std                  | 1           |
|    value_loss           | 4.27        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 126        |
|    ep_rew_mean          | -9.767161  |
| time/                   |            |
|    fps                  | 218        |
|    iterations           | 10         |
|    time_elapsed         | 11         |
|    total_timesteps      | 2560       |
| train/                  |            |
|    approx_kl            | 0.01314632 |
|    clip_fraction        | 0.108      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | -0.152     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.4        |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0137    |
|    std                  | 1          |
|    value_loss           | 1.46       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 126         |
|    ep_rew_mean          | -9.767161   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 11          |
|    time_elapsed         | 12          |
|    total_timesteps      | 2816        |
| train/                  |             |
|    approx_kl            | 0.011797471 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0299      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.46        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0161     |
|    std                  | 1           |
|    value_loss           | 3.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | -4.9333835  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 12          |
|    time_elapsed         | 14          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.025637845 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.372       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00369     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0168     |
|    std                  | 1           |
|    value_loss           | 0.171       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 136          |
|    ep_rew_mean          | -5.1855054   |
| time/                   |              |
|    fps                  | 217          |
|    iterations           | 13           |
|    time_elapsed         | 15           |
|    total_timesteps      | 3328         |
| train/                  |              |
|    approx_kl            | 0.0011374641 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | -0.00611     |
|    learning_rate        | 0.0003       |
|    loss                 | 215          |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0023      |
|    std                  | 1            |
|    value_loss           | 357          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 139         |
|    ep_rew_mean          | -5.312592   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 14          |
|    time_elapsed         | 16          |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.013102001 |
|    clip_fraction        | 0.0742      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.0489     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.634       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.014      |
|    std                  | 1.01        |
|    value_loss           | 1.89        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 143        |
|    ep_rew_mean          | -5.3748026 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 15         |
|    time_elapsed         | 17         |
|    total_timesteps      | 3840       |
| train/                  |            |
|    approx_kl            | 0.01978414 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.3      |
|    explained_variance   | 0.557      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0541     |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0202    |
|    std                  | 1.01       |
|    value_loss           | 1.07       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -5.784912   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 16          |
|    time_elapsed         | 18          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.016342554 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.81        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.333       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0271     |
|    std                  | 1.02        |
|    value_loss           | 0.568       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -5.8825555  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 17          |
|    time_elapsed         | 20          |
|    total_timesteps      | 4352        |
| train/                  |             |
|    approx_kl            | 0.013017874 |
|    clip_fraction        | 0.077       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.2         |
|    learning_rate        | 0.0003      |
|    loss                 | 1.34        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0164     |
|    std                  | 1.02        |
|    value_loss           | 4.75        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 142         |
|    ep_rew_mean          | -5.939485   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 18          |
|    time_elapsed         | 21          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.013063532 |
|    clip_fraction        | 0.0879      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | -0.092      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.895       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0182     |
|    std                  | 1.02        |
|    value_loss           | 1.65        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -5.9194603  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 19          |
|    time_elapsed         | 22          |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.017024877 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.217       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0261     |
|    std                  | 1.02        |
|    value_loss           | 0.607       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 145         |
|    ep_rew_mean          | -2.9349751  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 20          |
|    time_elapsed         | 23          |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.013632981 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.772       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0986      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0208     |
|    std                  | 1.02        |
|    value_loss           | 0.64        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -3.4365873  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 21          |
|    time_elapsed         | 24          |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.001512304 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.0669      |
|    learning_rate        | 0.0003      |
|    loss                 | 60.2        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00446    |
|    std                  | 1.02        |
|    value_loss           | 339         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -3.4365873  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 22          |
|    time_elapsed         | 25          |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.013774701 |
|    clip_fraction        | 0.057       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.29        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.66        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.019      |
|    std                  | 1.02        |
|    value_loss           | 6.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 146         |
|    ep_rew_mean          | -0.87755996 |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 23          |
|    time_elapsed         | 27          |
|    total_timesteps      | 5888        |
| train/                  |             |
|    approx_kl            | 0.01764308  |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.762       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0394     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 1.02        |
|    value_loss           | 0.147       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 149           |
|    ep_rew_mean          | -1.0912279    |
| time/                   |               |
|    fps                  | 217           |
|    iterations           | 24            |
|    time_elapsed         | 28            |
|    total_timesteps      | 6144          |
| train/                  |               |
|    approx_kl            | 0.00054362696 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -14.4         |
|    explained_variance   | 0.0494        |
|    learning_rate        | 0.0003        |
|    loss                 | 99.3          |
|    n_updates            | 230           |
|    policy_gradient_loss | 7.27e-05      |
|    std                  | 1.02          |
|    value_loss           | 327           |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | 1.0856811   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 25          |
|    time_elapsed         | 29          |
|    total_timesteps      | 6400        |
| train/                  |             |
|    approx_kl            | 0.013357971 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.522       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.313       |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0173     |
|    std                  | 1.02        |
|    value_loss           | 1.21        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 152          |
|    ep_rew_mean          | 1.0856811    |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 26           |
|    time_elapsed         | 30           |
|    total_timesteps      | 6656         |
| train/                  |              |
|    approx_kl            | 0.0013962546 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | 0.171        |
|    learning_rate        | 0.0003       |
|    loss                 | 236          |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00236     |
|    std                  | 1.02         |
|    value_loss           | 303          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 153        |
|    ep_rew_mean          | 1.8988789  |
| time/                   |            |
|    fps                  | 218        |
|    iterations           | 27         |
|    time_elapsed         | 31         |
|    total_timesteps      | 6912       |
| train/                  |            |
|    approx_kl            | 0.01461404 |
|    clip_fraction        | 0.0809     |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.4      |
|    explained_variance   | 0.974      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0446    |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0155    |
|    std                  | 1.02       |
|    value_loss           | 0.269      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 153          |
|    ep_rew_mean          | 1.8988789    |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 28           |
|    time_elapsed         | 32           |
|    total_timesteps      | 7168         |
| train/                  |              |
|    approx_kl            | 0.0023990762 |
|    clip_fraction        | 0.00234      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | 0.0849       |
|    learning_rate        | 0.0003       |
|    loss                 | 233          |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00868     |
|    std                  | 1.02         |
|    value_loss           | 392          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | 1.8988789   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 29          |
|    time_elapsed         | 33          |
|    total_timesteps      | 7424        |
| train/                  |             |
|    approx_kl            | 0.015303197 |
|    clip_fraction        | 0.0781      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0115     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0183     |
|    std                  | 1.02        |
|    value_loss           | 0.426       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 2.123154    |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 30          |
|    time_elapsed         | 35          |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.019144947 |
|    clip_fraction        | 0.166       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.679       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00712    |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0207     |
|    std                  | 1.02        |
|    value_loss           | 0.351       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 167        |
|    ep_rew_mean          | 2.123154   |
| time/                   |            |
|    fps                  | 218        |
|    iterations           | 31         |
|    time_elapsed         | 36         |
|    total_timesteps      | 7936       |
| train/                  |            |
|    approx_kl            | 0.01586349 |
|    clip_fraction        | 0.15       |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.4      |
|    explained_variance   | 0.583      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.02       |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0167    |
|    std                  | 1.02       |
|    value_loss           | 1.4        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 174          |
|    ep_rew_mean          | 1.9132826    |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 32           |
|    time_elapsed         | 37           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0127041275 |
|    clip_fraction        | 0.0957       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | 0.962        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.039       |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.0143      |
|    std                  | 1.02         |
|    value_loss           | 0.227        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.957516    |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 33          |
|    time_elapsed         | 38          |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.022002745 |
|    clip_fraction        | 0.239       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.239       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.22        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 1.02        |
|    value_loss           | 1.67        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 177          |
|    ep_rew_mean          | 3.5394697    |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 34           |
|    time_elapsed         | 39           |
|    total_timesteps      | 8704         |
| train/                  |              |
|    approx_kl            | 0.0005378772 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | -0.0451      |
|    learning_rate        | 0.0003       |
|    loss                 | 218          |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00145     |
|    std                  | 1.02         |
|    value_loss           | 326          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 3.5394697   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 35          |
|    time_elapsed         | 40          |
|    total_timesteps      | 8960        |
| train/                  |             |
|    approx_kl            | 0.022829467 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.604       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.853       |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0152     |
|    std                  | 1.02        |
|    value_loss           | 3.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 3.5394697   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 36          |
|    time_elapsed         | 42          |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.011908856 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.948       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0139     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0167     |
|    std                  | 1.02        |
|    value_loss           | 0.5         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 185         |
|    ep_rew_mean          | 3.1358001   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 37          |
|    time_elapsed         | 43          |
|    total_timesteps      | 9472        |
| train/                  |             |
|    approx_kl            | 0.018709864 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.73        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0549     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0315     |
|    std                  | 1.02        |
|    value_loss           | 0.0302      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 191         |
|    ep_rew_mean          | 2.872223    |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 38          |
|    time_elapsed         | 44          |
|    total_timesteps      | 9728        |
| train/                  |             |
|    approx_kl            | 0.015914576 |
|    clip_fraction        | 0.0598      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.497       |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0199     |
|    std                  | 1.02        |
|    value_loss           | 1.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 189         |
|    ep_rew_mean          | 1.8550879   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 39          |
|    time_elapsed         | 45          |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.017880391 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.345       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0247     |
|    std                  | 1.02        |
|    value_loss           | 0.889       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 189           |
|    ep_rew_mean          | 1.3949307     |
| time/                   |               |
|    fps                  | 218           |
|    iterations           | 40            |
|    time_elapsed         | 46            |
|    total_timesteps      | 10240         |
| train/                  |               |
|    approx_kl            | 0.00033983472 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -14.4         |
|    explained_variance   | -0.082        |
|    learning_rate        | 0.0003        |
|    loss                 | 66            |
|    n_updates            | 390           |
|    policy_gradient_loss | -0.000511     |
|    std                  | 1.02          |
|    value_loss           | 90.4          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 186         |
|    ep_rew_mean          | 0.25814682  |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 41          |
|    time_elapsed         | 47          |
|    total_timesteps      | 10496       |
| train/                  |             |
|    approx_kl            | 0.016027885 |
|    clip_fraction        | 0.0977      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.0555      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.96        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0239     |
|    std                  | 1.02        |
|    value_loss           | 4.52        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 186          |
|    ep_rew_mean          | 0.25814682   |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 42           |
|    time_elapsed         | 49           |
|    total_timesteps      | 10752        |
| train/                  |              |
|    approx_kl            | 0.0054476163 |
|    clip_fraction        | 0.0102       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | 0.0255       |
|    learning_rate        | 0.0003       |
|    loss                 | 26.7         |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00661     |
|    std                  | 1.02         |
|    value_loss           | 79.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 189         |
|    ep_rew_mean          | -0.26028654 |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 43          |
|    time_elapsed         | 50          |
|    total_timesteps      | 11008       |
| train/                  |             |
|    approx_kl            | 0.014288794 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.806       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0247     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 1.02        |
|    value_loss           | 0.0367      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | -2.2205307  |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 44          |
|    time_elapsed         | 51          |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.021223966 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.185       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.08        |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0284     |
|    std                  | 1.02        |
|    value_loss           | 2.36        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 180          |
|    ep_rew_mean          | -2.3491738   |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 45           |
|    time_elapsed         | 52           |
|    total_timesteps      | 11520        |
| train/                  |              |
|    approx_kl            | 0.0040355255 |
|    clip_fraction        | 0.0082       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.4        |
|    explained_variance   | 0.00914      |
|    learning_rate        | 0.0003       |
|    loss                 | 63.6         |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.00683     |
|    std                  | 1.02         |
|    value_loss           | 141          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 180         |
|    ep_rew_mean          | -2.3491738  |
| time/                   |             |
