Logging to Training/Logs/PPO_testrew/PPO_4
-----------------------------------
| rollout/           |            |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 127        |
|    ep_rew_mean          | -13.706634 |
| time/                   |            |
|    fps                  | 229        |
|    iterations           | 6          |
|    time_elapsed         | 53         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01074974 |
|    clip_fraction        | 0.147      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.732      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0413     |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.0135    |
|    std                  | 1          |
|    value_loss           | 0.371      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 141         |
|    ep_rew_mean          | -14.806824  |
| time/                   |             |
|    fps                  | 228         |
|    iterations           | 7           |
|    time_elapsed         | 62          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.015625514 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00953    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0156     |
|    std                  | 1           |
|    value_loss           | 0.0713      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 159         |
|    ep_rew_mean          | -16.015846  |
| time/                   |             |
|    fps                  | 228         |
|    iterations           | 8           |
|    time_elapsed         | 71          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.007815777 |
|    clip_fraction        | 0.0851      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.12        |
|    learning_rate        | 0.0003      |
|    loss                 | 14.5        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00785    |
|    std                  | 1           |
|    value_loss           | 7.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | -16.619658  |
| time/                   |             |
|    fps                  | 228         |
|    iterations           | 9           |
|    time_elapsed         | 80          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.010367514 |
|    clip_fraction        | 0.0957      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.306       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.39        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0102     |
|    std                  | 1           |
|    value_loss           | 7.03        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 188        |
|    ep_rew_mean          | -17.336817 |
| time/                   |            |
|    fps                  | 228        |
|    iterations           | 10         |
|    time_elapsed         | 89         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.01685111 |
|    clip_fraction        | 0.172      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.735      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0633     |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0147    |
|    std                  | 1          |
|    value_loss           | 0.42       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 210         |
|    ep_rew_mean          | -18.473743  |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 11          |
|    time_elapsed         | 98          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.014364941 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.122       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0174     |
|    std                  | 1           |
|    value_loss           | 0.242       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 225         |
|    ep_rew_mean          | -19.955633  |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 12          |
|    time_elapsed         | 107         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.012532357 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.913       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00367    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00979    |
|    std                  | 1.01        |
|    value_loss           | 0.033       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 242         |
|    ep_rew_mean          | -21.067253  |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 13          |
|    time_elapsed         | 116         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.009947267 |
|    clip_fraction        | 0.0942      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0562      |
|    learning_rate        | 0.0003      |
|    loss                 | 4.07        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00888    |
|    std                  | 1.01        |
|    value_loss           | 11.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 260          |
|    ep_rew_mean          | -21.926292   |
| time/                   |              |
|    fps                  | 227          |
|    iterations           | 14           |
|    time_elapsed         | 126          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0130643165 |
|    clip_fraction        | 0.11         |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.3        |
|    explained_variance   | 0.408        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0494       |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00881     |
|    std                  | 1.01         |
|    value_loss           | 4.82         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 275         |
|    ep_rew_mean          | -22.726778  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 15          |
|    time_elapsed         | 135         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.011514752 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.868       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00643     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0114     |
|    std                  | 1.01        |
|    value_loss           | 0.174       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 294         |
|    ep_rew_mean          | -24.19899   |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 16          |
|    time_elapsed         | 144         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.009690415 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0129      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0123     |
|    std                  | 1.02        |
|    value_loss           | 0.0702      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 311         |
|    ep_rew_mean          | -24.806211  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 17          |
|    time_elapsed         | 153         |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.010710657 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.744       |
|    learning_rate        | 0.0003      |
|    loss                 | 9.31        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0128     |
|    std                  | 1.02        |
|    value_loss           | 3.72        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 308         |
|    ep_rew_mean          | -24.736294  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 18          |
|    time_elapsed         | 162         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.010706291 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.781       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.211       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0127     |
|    std                  | 1.01        |
|    value_loss           | 0.54        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 258         |
|    ep_rew_mean          | -22.124643  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 19          |
|    time_elapsed         | 171         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.011549475 |
|    clip_fraction        | 0.097       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.647       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.667       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0122     |
|    std                  | 1.01        |
|    value_loss           | 1.4         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 224          |
|    ep_rew_mean          | -19.610937   |
| time/                   |              |
|    fps                  | 226          |
|    iterations           | 20           |
|    time_elapsed         | 181          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0093063265 |
|    clip_fraction        | 0.0696       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.549        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.785        |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00922     |
|    std                  | 1            |
|    value_loss           | 7.39         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | -16.397514  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 21          |
|    time_elapsed         | 190         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.012338725 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.739       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.186       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0106     |
|    std                  | 1           |
|    value_loss           | 0.656       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -13.591312  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 22          |
|    time_elapsed         | 199         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.012092151 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.38        |
|    learning_rate        | 0.0003      |
|    loss                 | 8.33        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0111     |
|    std                  | 1.01        |
|    value_loss           | 7.76        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 137         |
|    ep_rew_mean          | -11.231202  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 23          |
|    time_elapsed         | 208         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.010872776 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.0466      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.38        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00687    |
|    std                  | 1.01        |
|    value_loss           | 40.2        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 144        |
|    ep_rew_mean          | -11.296483 |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 24         |
|    time_elapsed         | 217        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.00885252 |
|    clip_fraction        | 0.0745     |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.154      |
|    learning_rate        | 0.0003     |
|    loss                 | 18.8       |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.00877   |
|    std                  | 1          |
|    value_loss           | 42.7       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | -11.957468  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 25          |
|    time_elapsed         | 226         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.013073583 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0151      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 1.01        |
|    value_loss           | 0.151       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 169         |
|    ep_rew_mean          | -12.326566  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 26          |
|    time_elapsed         | 235         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.013098743 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.143       |
|    learning_rate        | 0.0003      |
|    loss                 | 16          |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.011      |
|    std                  | 1           |
|    value_loss           | 8.66        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 184         |
|    ep_rew_mean          | -13.098124  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 27          |
|    time_elapsed         | 245         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.011103865 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.824       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0543      |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0104     |
|    std                  | 1           |
|    value_loss           | 0.215       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -13.493503  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 28          |
|    time_elapsed         | 254         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.011871226 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.354       |
|    learning_rate        | 0.0003      |
|    loss                 | 11.9        |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0102     |
|    std                  | 1           |
|    value_loss           | 5.23        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 217        |
|    ep_rew_mean          | -13.767278 |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 29         |
|    time_elapsed         | 263        |
|    total_timesteps      | 59392      |
| train/                  |            |
|    approx_kl            | 0.01155799 |
|    clip_fraction        | 0.114      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.864      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.012      |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.0117    |
|    std                  | 1          |
|    value_loss           | 0.151      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 232        |
|    ep_rew_mean          | -14.697039 |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 30         |
|    time_elapsed         | 272        |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.01131713 |
|    clip_fraction        | 0.118      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.2      |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0155     |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0125    |
|    std                  | 0.997      |
|    value_loss           | 0.133      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 247         |
|    ep_rew_mean          | -15.963793  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 31          |
|    time_elapsed         | 281         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.009512703 |
|    clip_fraction        | 0.092       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.59        |
|    learning_rate        | 0.0003      |
|    loss                 | 4.16        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00588    |
|    std                  | 0.994       |
|    value_loss           | 4.14        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 259          |
|    ep_rew_mean          | -17.182966   |
| time/                   |              |
|    fps                  | 225          |
|    iterations           | 32           |
|    time_elapsed         | 290          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0073944507 |
|    clip_fraction        | 0.0828       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.1        |
|    explained_variance   | 0.182        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.25         |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00513     |
|    std                  | 0.994        |
|    value_loss           | 9.07         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 277         |
|    ep_rew_mean          | -18.072037  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 33          |
|    time_elapsed         | 299         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.009687124 |
|    clip_fraction        | 0.08        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.643       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.09        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00903    |
|    std                  | 0.99        |
|    value_loss           | 9.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 284         |
|    ep_rew_mean          | -18.81353   |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 34          |
|    time_elapsed         | 308         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.011397786 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.659       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.72        |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0097     |
|    std                  | 0.989       |
|    value_loss           | 4.9         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 292        |
|    ep_rew_mean          | -20.218643 |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 35         |
|    time_elapsed         | 317        |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.01196057 |
|    clip_fraction        | 0.123      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.1      |
|    explained_variance   | 0.76       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.21       |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.00909   |
|    std                  | 0.986      |
|    value_loss           | 4.08       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 298         |
|    ep_rew_mean          | -22.188091  |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 36          |
|    time_elapsed         | 326         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.009234648 |
|    clip_fraction        | 0.091       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14         |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.68        |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0103     |
|    std                  | 0.988       |
|    value_loss           | 10.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 291         |
|    ep_rew_mean          | -23.412294  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 37          |
|    time_elapsed         | 335         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.010545757 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.29        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00844    |
|    std                  | 0.988       |
|    value_loss           | 6.35        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 277          |
|    ep_rew_mean          | -24.132881   |
| time/                   |              |
|    fps                  | 226          |
|    iterations           | 38           |
|    time_elapsed         | 344          |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0102247745 |
|    clip_fraction        | 0.092        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.1        |
|    explained_variance   | 0.745        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.32         |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00698     |
|    std                  | 0.989        |
|    value_loss           | 9.39         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 265         |
|    ep_rew_mean          | -23.4889    |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 39          |
|    time_elapsed         | 353         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.015810844 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.774       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.463       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.99        |
|    value_loss           | 0.865       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 239         |
|    ep_rew_mean          | -21.195433  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 40          |
|    time_elapsed         | 362         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.011597891 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.3         |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00563    |
|    std                  | 0.997       |
|    value_loss           | 0.728       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 219         |
|    ep_rew_mean          | -19.88034   |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 41          |
|    time_elapsed         | 371         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.005857271 |
|    clip_fraction        | 0.0488      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.0458      |
|    learning_rate        | 0.0003      |
|    loss                 | 18.4        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00597    |
|    std                  | 0.996       |
|    value_loss           | 39          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | -16.491549  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 42          |
|    time_elapsed         | 380         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.015167899 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.579       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.08        |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0112     |
|    std                  | 0.996       |
|    value_loss           | 0.428       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 191         |
|    ep_rew_mean          | -15.689807  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 43          |
|    time_elapsed         | 389         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.007110526 |
|    clip_fraction        | 0.0718      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.155       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.721       |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00478    |
|    std                  | 0.996       |
|    value_loss           | 37.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | -14.741171  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 44          |
|    time_elapsed         | 398         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.011546001 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | 0.851       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0371      |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00798    |
|    std                  | 0.996       |
|    value_loss           | 0.157       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 203          |
|    ep_rew_mean          | -14.376186   |
| time/                   |              |
|    fps                  | 226          |
|    iterations           | 45           |
|    time_elapsed         | 407          |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0135570755 |
|    clip_fraction        | 0.164        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | 0.755        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00107      |
|    n_updates            | 440          |
|    policy_gradient_loss | -0.0127      |
|    std                  | 1            |
|    value_loss           | 0.206        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 207         |
|    ep_rew_mean          | -13.251953  |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 46          |
|    time_elapsed         | 416         |
