Logging to Training/Logs/PPO_testrew/PPO_2
-----------------------------------
| rollout/           |            |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0107      |
|    n_updates            | 1120        |
|    policy_gradient_loss | -0.0257     |
|    std                  | 1.04        |
|    value_loss           | 0.249       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 222        |
|    ep_rew_mean          | -28.503784 |
| time/                   |            |
|    fps                  | 220        |
|    iterations           | 14         |
|    time_elapsed         | 16         |
|    total_timesteps      | 3584       |
| train/                  |            |
|    approx_kl            | 0.02214073 |
|    clip_fraction        | 0.177      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.882      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.013      |
|    n_updates            | 1130       |
|    policy_gradient_loss | -0.0246    |
|    std                  | 1.04       |
|    value_loss           | 0.104      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 222         |
|    ep_rew_mean          | -28.503784  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 15          |
|    time_elapsed         | 17          |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.021169491 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.284       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.342       |
|    n_updates            | 1140        |
|    policy_gradient_loss | -0.0272     |
|    std                  | 1.04        |
|    value_loss           | 0.55        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 222         |
|    ep_rew_mean          | -28.503784  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 16          |
|    time_elapsed         | 18          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.008072559 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.658       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0339     |
|    n_updates            | 1150        |
|    policy_gradient_loss | -0.02       |
|    std                  | 1.04        |
|    value_loss           | 0.269       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 250         |
|    ep_rew_mean          | -29.31873   |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 17          |
|    time_elapsed         | 19          |
|    total_timesteps      | 4352        |
| train/                  |             |
|    approx_kl            | 0.017337423 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.239       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0232     |
|    n_updates            | 1160        |
|    policy_gradient_loss | -0.0334     |
|    std                  | 1.04        |
|    value_loss           | 0.026       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 250        |
|    ep_rew_mean          | -29.31873  |
| time/                   |            |
|    fps                  | 220        |
|    iterations           | 18         |
|    time_elapsed         | 20         |
|    total_timesteps      | 4608       |
| train/                  |            |
|    approx_kl            | 0.02403656 |
|    clip_fraction        | 0.202      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.952      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0218    |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.021     |
|    std                  | 1.04       |
|    value_loss           | 0.0755     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 263         |
|    ep_rew_mean          | -29.30184   |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 19          |
|    time_elapsed         | 22          |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.013125917 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.955       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0166     |
|    n_updates            | 1180        |
|    policy_gradient_loss | -0.0162     |
|    std                  | 1.04        |
|    value_loss           | 0.0507      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 269         |
|    ep_rew_mean          | -28.910921  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 20          |
|    time_elapsed         | 23          |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.021197904 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | -0.333      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0724      |
|    n_updates            | 1190        |
|    policy_gradient_loss | -0.0169     |
|    std                  | 1.04        |
|    value_loss           | 0.642       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 261         |
|    ep_rew_mean          | -30.027637  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 21          |
|    time_elapsed         | 24          |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.029505521 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.826       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.024       |
|    n_updates            | 1200        |
|    policy_gradient_loss | -0.0243     |
|    std                  | 1.04        |
|    value_loss           | 0.158       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 261          |
|    ep_rew_mean          | -30.027637   |
| time/                   |              |
|    fps                  | 220          |
|    iterations           | 22           |
|    time_elapsed         | 25           |
|    total_timesteps      | 5632         |
| train/                  |              |
|    approx_kl            | 0.0076592993 |
|    clip_fraction        | 0.0277       |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | 0.042        |
|    learning_rate        | 0.0003       |
|    loss                 | 31.7         |
|    n_updates            | 1210         |
|    policy_gradient_loss | -0.00711     |
|    std                  | 1.04         |
|    value_loss           | 64           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 270         |
|    ep_rew_mean          | -30.009598  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 23          |
|    time_elapsed         | 26          |
|    total_timesteps      | 5888        |
| train/                  |             |
|    approx_kl            | 0.028157147 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0347     |
|    n_updates            | 1220        |
|    policy_gradient_loss | -0.0279     |
|    std                  | 1.04        |
|    value_loss           | 0.0994      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 265        |
|    ep_rew_mean          | -30.409992 |
| time/                   |            |
|    fps                  | 220        |
|    iterations           | 24         |
|    time_elapsed         | 27         |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.01839583 |
|    clip_fraction        | 0.113      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.776      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0311     |
|    n_updates            | 1230       |
|    policy_gradient_loss | -0.025     |
|    std                  | 1.05       |
|    value_loss           | 0.225      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 265         |
|    ep_rew_mean          | -29.818274  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 25          |
|    time_elapsed         | 29          |
|    total_timesteps      | 6400        |
| train/                  |             |
|    approx_kl            | 0.007000936 |
|    clip_fraction        | 0.0242      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.0491      |
|    learning_rate        | 0.0003      |
|    loss                 | 32.9        |
|    n_updates            | 1240        |
|    policy_gradient_loss | -0.00809    |
|    std                  | 1.05        |
|    value_loss           | 62.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 262         |
|    ep_rew_mean          | -29.125486  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 26          |
|    time_elapsed         | 30          |
|    total_timesteps      | 6656        |
| train/                  |             |
|    approx_kl            | 0.020014638 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.895       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00552     |
|    n_updates            | 1250        |
|    policy_gradient_loss | -0.0147     |
|    std                  | 1.05        |
|    value_loss           | 0.143       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 263         |
|    ep_rew_mean          | -28.581728  |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 27          |
|    time_elapsed         | 31          |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.012830184 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.521       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.086       |
|    n_updates            | 1260        |
|    policy_gradient_loss | -0.0239     |
|    std                  | 1.05        |
|    value_loss           | 0.386       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 229         |
|    ep_rew_mean          | -22.103273  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 28          |
|    time_elapsed         | 32          |
|    total_timesteps      | 7168        |
| train/                  |             |
|    approx_kl            | 0.013903907 |
|    clip_fraction        | 0.098       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0299      |
|    n_updates            | 1270        |
|    policy_gradient_loss | -0.0219     |
|    std                  | 1.05        |
|    value_loss           | 0.344       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 223          |
|    ep_rew_mean          | -21.513506   |
| time/                   |              |
|    fps                  | 219          |
|    iterations           | 29           |
|    time_elapsed         | 33           |
|    total_timesteps      | 7424         |
| train/                  |              |
|    approx_kl            | 0.0041342513 |
|    clip_fraction        | 0.00547      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | -0.016       |
|    learning_rate        | 0.0003       |
|    loss                 | 105          |
|    n_updates            | 1280         |
|    policy_gradient_loss | -0.00688     |
|    std                  | 1.05         |
|    value_loss           | 362          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 219         |
|    ep_rew_mean          | -22.397673  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 30          |
|    time_elapsed         | 34          |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.013154384 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.405       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.625       |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.0159     |
|    std                  | 1.05        |
|    value_loss           | 2.92        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 226          |
|    ep_rew_mean          | -22.430767   |
| time/                   |              |
|    fps                  | 219          |
|    iterations           | 31           |
|    time_elapsed         | 36           |
|    total_timesteps      | 7936         |
| train/                  |              |
|    approx_kl            | 0.0028605373 |
|    clip_fraction        | 0.00117      |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.6        |
|    explained_variance   | -0.021       |
|    learning_rate        | 0.0003       |
|    loss                 | 41.3         |
|    n_updates            | 1300         |
|    policy_gradient_loss | -0.0033      |
|    std                  | 1.05         |
|    value_loss           | 64.9         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 224         |
|    ep_rew_mean          | -22.13937   |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 32          |
|    time_elapsed         | 37          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.015136906 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.95        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0154      |
|    n_updates            | 1310        |
|    policy_gradient_loss | -0.0255     |
|    std                  | 1.04        |
|    value_loss           | 0.186       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 227         |
|    ep_rew_mean          | -21.996977  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 33          |
|    time_elapsed         | 38          |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.021304794 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.727       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0849      |
|    n_updates            | 1320        |
|    policy_gradient_loss | -0.0233     |
|    std                  | 1.04        |
|    value_loss           | 0.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 216         |
|    ep_rew_mean          | -22.157307  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 34          |
|    time_elapsed         | 39          |
|    total_timesteps      | 8704        |
| train/                  |             |
|    approx_kl            | 0.020989329 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000172    |
|    n_updates            | 1330        |
|    policy_gradient_loss | -0.0315     |
|    std                  | 1.05        |
|    value_loss           | 0.169       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 213         |
|    ep_rew_mean          | -21.645535  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 35          |
|    time_elapsed         | 40          |
|    total_timesteps      | 8960        |
| train/                  |             |
|    approx_kl            | 0.004476158 |
|    clip_fraction        | 0.0129      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.123       |
|    learning_rate        | 0.0003      |
|    loss                 | 50.6        |
|    n_updates            | 1340        |
|    policy_gradient_loss | -0.00652    |
|    std                  | 1.05        |
|    value_loss           | 61.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | -21.413311  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 36          |
|    time_elapsed         | 41          |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.015478129 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.671       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.113       |
|    n_updates            | 1350        |
|    policy_gradient_loss | -0.0176     |
|    std                  | 1.05        |
|    value_loss           | 0.478       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 208        |
|    ep_rew_mean          | -20.974077 |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 37         |
|    time_elapsed         | 43         |
|    total_timesteps      | 9472       |
| train/                  |            |
|    approx_kl            | 0.01066976 |
|    clip_fraction        | 0.167      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.855      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0887     |
|    n_updates            | 1360       |
|    policy_gradient_loss | -0.0204    |
|    std                  | 1.05       |
|    value_loss           | 0.233      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | -20.575083  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 38          |
|    time_elapsed         | 44          |
|    total_timesteps      | 9728        |
| train/                  |             |
|    approx_kl            | 0.016855314 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.6       |
|    explained_variance   | 0.463       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.372       |
|    n_updates            | 1370        |
|    policy_gradient_loss | -0.0234     |
|    std                  | 1.05        |
|    value_loss           | 0.759       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 199         |
|    ep_rew_mean          | -19.994593  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 39          |
|    time_elapsed         | 45          |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.010925826 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.7       |
|    explained_variance   | 0.64        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.23        |
|    n_updates            | 1380        |
|    policy_gradient_loss | -0.0195     |
|    std                  | 1.05        |
|    value_loss           | 0.726       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 196        |
|    ep_rew_mean          | -19.693003 |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 40         |
|    time_elapsed         | 46         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.01701318 |
|    clip_fraction        | 0.128      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.7      |
|    explained_variance   | 0.282      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.421      |
|    n_updates            | 1390       |
|    policy_gradient_loss | -0.0321    |
|    std                  | 1.05       |
|    value_loss           | 1.63       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 198        |
|    ep_rew_mean          | -19.646965 |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 41         |
|    time_elapsed         | 47         |
|    total_timesteps      | 10496      |
| train/                  |            |
|    approx_kl            | 0.0168182  |
|    clip_fraction        | 0.197      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.7      |
|    explained_variance   | 0.622      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.307      |
|    n_updates            | 1400       |
|    policy_gradient_loss | -0.0319    |
|    std                  | 1.05       |
|    value_loss           | 0.726      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 195         |
|    ep_rew_mean          | -19.372139  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 42          |
|    time_elapsed         | 49          |
|    total_timesteps      | 10752       |
| train/                  |             |
|    approx_kl            | 0.011764097 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.7       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00106    |
|    n_updates            | 1410        |
|    policy_gradient_loss | -0.0176     |
|    std                  | 1.05        |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 189         |
|    ep_rew_mean          | -18.934841  |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 43          |
|    time_elapsed         | 50          |
|    total_timesteps      | 11008       |
| train/                  |             |
|    approx_kl            | 0.013435954 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.7       |
|    explained_variance   | 0.597       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.178       |
|    n_updates            | 1420        |
|    policy_gradient_loss | -0.0247     |
|    std                  | 1.05        |
|    value_loss           | 0.749       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 186        |
|    ep_rew_mean          | -18.661657 |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 44         |
|    time_elapsed         | 51         |
|    total_timesteps      | 11264      |
| train/                  |            |
|    approx_kl            | 0.01638756 |
|    clip_fraction        | 0.15       |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.7      |
|    explained_variance   | 0.358      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.636      |
|    n_updates            | 1430       |
|    policy_gradient_loss | -0.0236    |
|    std                  | 1.05       |
|    value_loss           | 1.71       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 186        |
|    ep_rew_mean          | -18.441938 |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 45         |
|    time_elapsed         | 52         |
|    total_timesteps      | 11520      |
| train/                  |            |
|    approx_kl            | 0.02313265 |
|    clip_fraction        | 0.16       |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.7      |
|    explained_variance   | 0.432      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.797      |
|    n_updates            | 1440       |
|    policy_gradient_loss | -0.0189    |
|    std                  | 1.06       |
|    value_loss           | 1.29       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 183       |
