Logging to Training/Logs/FINALPPO_200K/PPO_8
----------------------------
| time/              |     |
|    ep_rew_mean          | -34.250435  |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 11          |
|    time_elapsed         | 6           |
|    total_timesteps      | 1408        |
| train/                  |             |
|    approx_kl            | 0.024574013 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 12830       |
|    policy_gradient_loss | -0.0345     |
|    std                  | 0.909       |
|    value_loss           | 0.396       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 245         |
|    ep_rew_mean          | -33.513     |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 12          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.041253522 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00986    |
|    n_updates            | 12840       |
|    policy_gradient_loss | -0.0298     |
|    std                  | 0.907       |
|    value_loss           | 0.031       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 245         |
|    ep_rew_mean          | -33.513     |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 13          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1664        |
| train/                  |             |
|    approx_kl            | 0.022321422 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.903       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.495       |
|    n_updates            | 12850       |
|    policy_gradient_loss | -0.0247     |
|    std                  | 0.907       |
|    value_loss           | 1.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 256         |
|    ep_rew_mean          | -34.96325   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 14          |
|    time_elapsed         | 8           |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.025058491 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00538     |
|    n_updates            | 12860       |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.907       |
|    value_loss           | 0.00826     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 256         |
|    ep_rew_mean          | -34.96325   |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 15          |
|    time_elapsed         | 8           |
|    total_timesteps      | 1920        |
| train/                  |             |
|    approx_kl            | 0.021612842 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.9         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00185    |
|    n_updates            | 12870       |
|    policy_gradient_loss | -0.0222     |
|    std                  | 0.907       |
|    value_loss           | 0.139       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 241         |
|    ep_rew_mean          | -32.529976  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 16          |
|    time_elapsed         | 9           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.023649164 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.997       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0466     |
|    n_updates            | 12880       |
|    policy_gradient_loss | -0.0297     |
|    std                  | 0.908       |
|    value_loss           | 0.00934     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 241         |
|    ep_rew_mean          | -32.529976  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 17          |
|    time_elapsed         | 9           |
|    total_timesteps      | 2176        |
| train/                  |             |
|    approx_kl            | 0.048036363 |
|    clip_fraction        | 0.237       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0135     |
|    n_updates            | 12890       |
|    policy_gradient_loss | -0.0249     |
|    std                  | 0.908       |
|    value_loss           | 0.138       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | -33.638947 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 18         |
|    time_elapsed         | 10         |
|    total_timesteps      | 2304       |
| train/                  |            |
|    approx_kl            | 0.03197779 |
|    clip_fraction        | 0.302      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.955      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0644    |
|    n_updates            | 12900      |
|    policy_gradient_loss | -0.0294    |
|    std                  | 0.907      |
|    value_loss           | 0.0222     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 238         |
|    ep_rew_mean          | -31.75773   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 19          |
|    time_elapsed         | 11          |
|    total_timesteps      | 2432        |
| train/                  |             |
|    approx_kl            | 0.015668806 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.979       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0574      |
|    n_updates            | 12910       |
|    policy_gradient_loss | -0.0273     |
|    std                  | 0.907       |
|    value_loss           | 0.211       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 227         |
|    ep_rew_mean          | -30.126995  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 20          |
|    time_elapsed         | 11          |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.021675749 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0521     |
|    n_updates            | 12920       |
|    policy_gradient_loss | -0.0275     |
|    std                  | 0.907       |
|    value_loss           | 0.0291      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 218         |
|    ep_rew_mean          | -28.799414  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 21          |
|    time_elapsed         | 12          |
|    total_timesteps      | 2688        |
| train/                  |             |
|    approx_kl            | 0.030084126 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0243     |
|    n_updates            | 12930       |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.908       |
|    value_loss           | 0.013       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 201         |
|    ep_rew_mean          | -26.63947   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 22          |
|    time_elapsed         | 12          |
|    total_timesteps      | 2816        |
| train/                  |             |
|    approx_kl            | 0.025342695 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0557     |
|    n_updates            | 12940       |
|    policy_gradient_loss | -0.0307     |
|    std                  | 0.908       |
|    value_loss           | 0.00635     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 196         |
|    ep_rew_mean          | -25.818012  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 23          |
|    time_elapsed         | 13          |
|    total_timesteps      | 2944        |
| train/                  |             |
|    approx_kl            | 0.021480653 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0321     |
|    n_updates            | 12950       |
|    policy_gradient_loss | -0.0244     |
|    std                  | 0.909       |
|    value_loss           | 0.0329      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 191         |
|    ep_rew_mean          | -25.117027  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 24          |
|    time_elapsed         | 14          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.037123792 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0621     |
|    n_updates            | 12960       |
|    policy_gradient_loss | -0.0358     |
|    std                  | 0.908       |
|    value_loss           | 0.0137      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | -23.702883 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 25         |
|    time_elapsed         | 14         |
|    total_timesteps      | 3200       |
| train/                  |            |
|    approx_kl            | 0.02563495 |
|    clip_fraction        | 0.261      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.996      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0532    |
|    n_updates            | 12970      |
|    policy_gradient_loss | -0.0309    |
|    std                  | 0.906      |
|    value_loss           | 0.00902    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | -23.702883  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 26          |
|    time_elapsed         | 15          |
|    total_timesteps      | 3328        |
| train/                  |             |
|    approx_kl            | 0.030853953 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.869       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0355      |
|    n_updates            | 12980       |
|    policy_gradient_loss | -0.0119     |
|    std                  | 0.907       |
|    value_loss           | 0.247       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 168         |
|    ep_rew_mean          | -22.713528  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 27          |
|    time_elapsed         | 15          |
|    total_timesteps      | 3456        |
| train/                  |             |
|    approx_kl            | 0.027674932 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0596     |
|    n_updates            | 12990       |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.907       |
|    value_loss           | 0.00935     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 163         |
|    ep_rew_mean          | -22.017418  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 28          |
|    time_elapsed         | 16          |
|    total_timesteps      | 3584        |
| train/                  |             |
|    approx_kl            | 0.027290316 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.564       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.129       |
|    n_updates            | 13000       |
|    policy_gradient_loss | -0.0253     |
|    std                  | 0.906       |
|    value_loss           | 0.297       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 160         |
|    ep_rew_mean          | -21.685152  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 29          |
|    time_elapsed         | 17          |
|    total_timesteps      | 3712        |
| train/                  |             |
|    approx_kl            | 0.016191777 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.915       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0141     |
|    n_updates            | 13010       |
|    policy_gradient_loss | -0.0164     |
|    std                  | 0.906       |
|    value_loss           | 0.0623      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | -20.947485  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 30          |
|    time_elapsed         | 17          |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.019608902 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0463     |
|    n_updates            | 13020       |
|    policy_gradient_loss | -0.0346     |
|    std                  | 0.907       |
|    value_loss           | 0.0173      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | -20.746208  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 31          |
|    time_elapsed         | 18          |
|    total_timesteps      | 3968        |
| train/                  |             |
|    approx_kl            | 0.025587933 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.733       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0363      |
|    n_updates            | 13030       |
|    policy_gradient_loss | -0.0268     |
|    std                  | 0.908       |
|    value_loss           | 0.246       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 151        |
|    ep_rew_mean          | -20.526077 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 32         |
|    time_elapsed         | 18         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.01604425 |
|    clip_fraction        | 0.272      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.975      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.046     |
|    n_updates            | 13040      |
|    policy_gradient_loss | -0.0243    |
|    std                  | 0.908      |
|    value_loss           | 0.0309     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -20.31259   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 33          |
|    time_elapsed         | 19          |
|    total_timesteps      | 4224        |
| train/                  |             |
|    approx_kl            | 0.015491953 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0316     |
|    n_updates            | 13050       |
|    policy_gradient_loss | -0.0239     |
|    std                  | 0.909       |
|    value_loss           | 0.0115      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 149        |
|    ep_rew_mean          | -20.165506 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 34         |
|    time_elapsed         | 19         |
|    total_timesteps      | 4352       |
| train/                  |            |
|    approx_kl            | 0.01997589 |
|    clip_fraction        | 0.196      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.979      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0563    |
|    n_updates            | 13060      |
|    policy_gradient_loss | -0.0311    |
|    std                  | 0.912      |
|    value_loss           | 0.0184     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | -19.98865   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 35          |
|    time_elapsed         | 20          |
|    total_timesteps      | 4480        |
| train/                  |             |
|    approx_kl            | 0.035503514 |
|    clip_fraction        | 0.339       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0556     |
|    n_updates            | 13070       |
|    policy_gradient_loss | -0.0373     |
|    std                  | 0.912       |
|    value_loss           | 0.00752     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | -20.044083  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 36          |
|    time_elapsed         | 21          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.035013467 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 13080       |
|    policy_gradient_loss | -0.0314     |
|    std                  | 0.912       |
|    value_loss           | 0.00897     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | -20.044083  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 37          |
|    time_elapsed         | 21          |
|    total_timesteps      | 4736        |
| train/                  |             |
|    approx_kl            | 0.025060143 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0157     |
|    n_updates            | 13090       |
|    policy_gradient_loss | -0.0231     |
|    std                  | 0.912       |
|    value_loss           | 0.0662      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -20.36341   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 38          |
|    time_elapsed         | 22          |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.026183197 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0362     |
|    n_updates            | 13100       |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.911       |
|    value_loss           | 0.0143      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 150        |
|    ep_rew_mean          | -20.36341  |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 39         |
|    time_elapsed         | 22         |
|    total_timesteps      | 4992       |
| train/                  |            |
|    approx_kl            | 0.02354944 |
|    clip_fraction        | 0.181      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.938      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.119      |
|    n_updates            | 13110      |
|    policy_gradient_loss | -0.027     |
|    std                  | 0.911      |
|    value_loss           | 0.4        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | -20.47879   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 40          |
|    time_elapsed         | 23          |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.022000894 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0164     |
|    n_updates            | 13120       |
|    policy_gradient_loss | -0.0228     |
|    std                  | 0.911       |
|    value_loss           | 0.0344      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 152        |
|    ep_rew_mean          | -20.47879  |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 41         |
|    time_elapsed         | 24         |
|    total_timesteps      | 5248       |
| train/                  |            |
|    approx_kl            | 0.03224164 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0125    |
|    n_updates            | 13130      |
|    policy_gradient_loss | -0.0342    |
|    std                  | 0.91       |
|    value_loss           | 0.129      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 158         |
|    ep_rew_mean          | -21.26027   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 42          |
|    time_elapsed         | 24          |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.033999324 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0501     |
|    n_updates            | 13140       |
|    policy_gradient_loss | -0.0249     |
|    std                  | 0.909       |
|    value_loss           | 0.0441      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | -21.033567  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 43          |
|    time_elapsed         | 25          |
|    total_timesteps      | 5504        |
| train/                  |             |
|    approx_kl            | 0.021606153 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.541       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.103       |
|    n_updates            | 13150       |
|    policy_gradient_loss | -0.0207     |
|    std                  | 0.909       |
|    value_loss           | 0.489       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | -20.84002   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 44          |
|    time_elapsed         | 25          |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.015719842 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0146     |
|    n_updates            | 13160       |
|    policy_gradient_loss | -0.0232     |
|    std                  | 0.91        |
|    value_loss           | 0.0165      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | -20.63271   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 45          |
|    time_elapsed         | 26          |
|    total_timesteps      | 5760        |
| train/                  |             |
|    approx_kl            | 0.022423552 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0107     |
|    n_updates            | 13170       |
|    policy_gradient_loss | -0.0246     |
|    std                  | 0.91        |
|    value_loss           | 0.0156      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -20.169247  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 46          |
|    time_elapsed         | 27          |
|    total_timesteps      | 5888        |
| train/                  |             |
|    approx_kl            | 0.020595137 |
|    clip_fraction        | 0.179       |
