Logging to Training/Logs/FINALPPO_200K/PPO_2
----------------------------------
| rollout/           |           |
|    total_timesteps      | 4352        |
| train/                  |             |
|    approx_kl            | 0.018388245 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.139       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.69        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0179     |
|    std                  | 1.01        |
|    value_loss           | 2.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | -12.4645605 |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 18          |
|    time_elapsed         | 22          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.015735753 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.0704      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.54        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0212     |
|    std                  | 1.01        |
|    value_loss           | 3.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | -12.19603   |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 19          |
|    time_elapsed         | 23          |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.018069888 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.236      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0239     |
|    std                  | 1.01        |
|    value_loss           | 3.93        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 146         |
|    ep_rew_mean          | -12.044276  |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 20          |
|    time_elapsed         | 24          |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.014549997 |
|    clip_fraction        | 0.0723      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.195       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.5         |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0209     |
|    std                  | 1.01        |
|    value_loss           | 2.64        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -11.89733   |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 21          |
|    time_elapsed         | 25          |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.013118909 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.162       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.635       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0201     |
|    std                  | 1.01        |
|    value_loss           | 1.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 139         |
|    ep_rew_mean          | -11.778086  |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 22          |
|    time_elapsed         | 26          |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.012594091 |
|    clip_fraction        | 0.0754      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.192       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.697       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0201     |
|    std                  | 1.01        |
|    value_loss           | 1.81        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 139         |
|    ep_rew_mean          | -11.641411  |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 23          |
|    time_elapsed         | 28          |
|    total_timesteps      | 5888        |
| train/                  |             |
|    approx_kl            | 0.018946674 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.381       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.389       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0243     |
|    std                  | 1.01        |
|    value_loss           | 1.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 141         |
|    ep_rew_mean          | -11.710061  |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 24          |
|    time_elapsed         | 29          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011047062 |
|    clip_fraction        | 0.0691      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.391       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.523       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0117     |
|    std                  | 1.01        |
|    value_loss           | 0.919       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -11.641992  |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 25          |
|    time_elapsed         | 30          |
|    total_timesteps      | 6400        |
| train/                  |             |
|    approx_kl            | 0.013410512 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.43        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.118       |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0141     |
|    std                  | 1.01        |
|    value_loss           | 0.363       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -11.641992  |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 26          |
|    time_elapsed         | 31          |
|    total_timesteps      | 6656        |
| train/                  |             |
|    approx_kl            | 0.013234317 |
|    clip_fraction        | 0.0578      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0894      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 1.01        |
|    value_loss           | 0.315       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -11.641992  |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 27          |
|    time_elapsed         | 32          |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.012148254 |
|    clip_fraction        | 0.0805      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0337     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0133     |
|    std                  | 1.01        |
|    value_loss           | 0.181       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 156          |
|    ep_rew_mean          | -11.8233795  |
| time/                   |              |
|    fps                  | 210          |
|    iterations           | 28           |
|    time_elapsed         | 34           |
|    total_timesteps      | 7168         |
| train/                  |              |
|    approx_kl            | 0.0074720895 |
|    clip_fraction        | 0.148        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.3        |
|    explained_variance   | 0.781        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0159      |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.0123      |
|    std                  | 1.01         |
|    value_loss           | 0.118        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | -11.766623  |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 29          |
|    time_elapsed         | 35          |
|    total_timesteps      | 7424        |
| train/                  |             |
|    approx_kl            | 0.008981202 |
|    clip_fraction        | 0.0676      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.977       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0936      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 1.01        |
|    value_loss           | 0.214       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | -11.708289  |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 30          |
|    time_elapsed         | 36          |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.013161609 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.299      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.641       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0212     |
|    std                  | 1.01        |
|    value_loss           | 2.21        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 157        |
|    ep_rew_mean          | -11.673254 |
| time/                   |            |
|    fps                  | 210        |
|    iterations           | 31         |
|    time_elapsed         | 37         |
|    total_timesteps      | 7936       |
| train/                  |            |
|    approx_kl            | 0.02247743 |
|    clip_fraction        | 0.173      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.3      |
|    explained_variance   | 0.422      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.133      |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0312    |
|    std                  | 1.01       |
|    value_loss           | 1.38       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -11.673254  |
| time/                   |             |
|    fps                  | 211         |
|    iterations           | 32          |
|    time_elapsed         | 38          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.023853041 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.15        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0263     |
|    std                  | 1.01        |
|    value_loss           | 0.403       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | -11.680074  |
| time/                   |             |
|    fps                  | 211         |
|    iterations           | 33          |
|    time_elapsed         | 39          |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.015107023 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.93        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0363     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0256     |
|    std                  | 1.01        |
|    value_loss           | 0.0508      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 153          |
|    ep_rew_mean          | -11.626302   |
| time/                   |              |
|    fps                  | 211          |
|    iterations           | 34           |
|    time_elapsed         | 41           |
|    total_timesteps      | 8704         |
| train/                  |              |
|    approx_kl            | 0.0155121945 |
|    clip_fraction        | 0.131        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.3        |
|    explained_variance   | 0.428        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.735        |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.0202      |
|    std                  | 1.01         |
|    value_loss           | 1.96         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | -11.581028  |
| time/                   |             |
|    fps                  | 211         |
|    iterations           | 35          |
|    time_elapsed         | 42          |
|    total_timesteps      | 8960        |
| train/                  |             |
|    approx_kl            | 0.014110404 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.0596     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.621       |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0192     |
|    std                  | 1.01        |
|    value_loss           | 2.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | -11.556968  |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 36          |
|    time_elapsed         | 43          |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.010693906 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.413       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.248       |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0153     |
|    std                  | 1.02        |
|    value_loss           | 1.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | -11.5272455 |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 37          |
|    time_elapsed         | 44          |
|    total_timesteps      | 9472        |
| train/                  |             |
|    approx_kl            | 0.023002293 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.607       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0481      |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0222     |
|    std                  | 1.02        |
|    value_loss           | 0.566       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 153        |
|    ep_rew_mean          | -11.503978 |
| time/                   |            |
|    fps                  | 212        |
|    iterations           | 38         |
|    time_elapsed         | 45         |
|    total_timesteps      | 9728       |
| train/                  |            |
|    approx_kl            | 0.01305623 |
|    clip_fraction        | 0.103      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.4      |
|    explained_variance   | 0.524      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.489      |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.0174    |
|    std                  | 1.02       |
|    value_loss           | 1.32       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -11.484867  |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 39          |
|    time_elapsed         | 46          |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.009313533 |
|    clip_fraction        | 0.0594      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | -1.13       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.338       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.016      |
|    std                  | 1.02        |
|    value_loss           | 1.83        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -11.484867  |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 40          |
|    time_elapsed         | 48          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.012421284 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.4       |
|    explained_variance   | 0.665       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.155       |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.019      |
|    std                  | 1.02        |
|    value_loss           | 0.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -11.484867  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 41          |
|    time_elapsed         | 49          |
|    total_timesteps      | 10496       |
| train/                  |             |
|    approx_kl            | 0.011403184 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | -0.0564     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0284      |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0134     |
|    std                  | 1.01        |
|    value_loss           | 0.244       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 165         |
|    ep_rew_mean          | -11.564362  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 42          |
|    time_elapsed         | 50          |
|    total_timesteps      | 10752       |
| train/                  |             |
|    approx_kl            | 0.015208436 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.651       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00106     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0143     |
|    std                  | 1.02        |
|    value_loss           | 0.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | -11.515372  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 43          |
|    time_elapsed         | 51          |
|    total_timesteps      | 11008       |
| train/                  |             |
|    approx_kl            | 0.022715107 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0821      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.029      |
|    std                  | 1.02        |
|    value_loss           | 0.294       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | -11.515372  |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 44          |
|    time_elapsed         | 52          |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.014338367 |
|    clip_fraction        | 0.084       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.486       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.928       |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0171     |
|    std                  | 1.01        |
|    value_loss           | 2.14        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | -11.366522 |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 45         |
|    time_elapsed         | 53         |
|    total_timesteps      | 11520      |
| train/                  |            |
|    approx_kl            | 0.01646242 |
|    clip_fraction        | 0.134      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.3      |
|    explained_variance   | 0.634      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00523    |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.0225    |
|    std                  | 1.01       |
|    value_loss           | 0.239      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 165         |
